cycle,recall,precision,recall_10,precision_10,top_mean_1,top_mean_2,top_mean_3,recall_g,precision_g,recall_10_g,precision_10_g,top_mean_1_g,top_mean_2_g,top_mean_3_g,N_init,N_per_cycle,strategy,dms_index,model_type,tmp_path,noise_level,ablang,use_dropout,logit_mode,Training size
11,0.01694915254237288,0.00909090909090909,0.01985863345674857,0.10727272727272727,1.445087851028139,1.2901782198171867,1.21741166211753,0.02711864406779661,0.013333333333333334,0.01985863345674857,0.10727272727272727,1.513698602367008,1.3386070427710213,1.262843127150993,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,550
12,0.02711864406779661,0.013333333333333334,0.02288791652642208,0.11333333333333333,1.513698602367008,1.3386070427710213,1.262843127150993,,,,,,,,50,50,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,600
1,0.3333333333333333,0.03,0.25882352941176473,0.22,0.1007307431506661,0.06366758757719418,0.04250070698329703,0.7777777777777778,0.011666666666666667,0.25882352941176473,0.22,0.14501429059181364,0.10652104656907813,0.08749282884844158,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,100
2,0.5555555555555556,0.025,0.43529411764705883,0.185,0.1363516104462906,0.09429296802461815,0.07019997232146062,0.8888888888888888,0.013333333333333334,0.43529411764705883,0.185,0.1559287375343205,0.11228913876819668,0.09120100477469287,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,200
3,0.7777777777777778,0.023333333333333334,0.5882352941176471,0.16666666666666666,0.14497983644626172,0.10280886673287234,0.08045166505482987,0.8888888888888888,0.013333333333333334,0.5882352941176471,0.16666666666666666,0.1559287375343205,0.11233227166649373,0.09182472165012902,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,300
4,0.7777777777777778,0.0175,0.6941176470588235,0.1475,0.14497983644626172,0.10452405631859471,0.08503347380307096,0.7777777777777778,0.011666666666666667,0.6941176470588235,0.1475,0.14501429059181364,0.10687504819524032,0.0881865726692934,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,400
5,0.7777777777777778,0.014,0.8,0.136,0.14501429059181364,0.10587782019824077,0.08691378175891143,0.8888888888888888,0.013333333333333334,0.8,0.136,0.1559287375343205,0.11264314039435888,0.09200639063744104,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,500
6,0.8888888888888888,0.013333333333333334,0.8588235294117647,0.12166666666666667,0.1559287375343205,0.11264314039435888,0.09200639063744104,,,,,,,,100,100,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-100_ini-1,0.0,False,False,False,600
1,0.0,0.0,0.0,0.0,-0.40568585575255245,-0.6900549563013574,-0.8305946112127195,0.023728813559322035,0.011666666666666667,0.0,0.0,1.4950735409256115,1.2863240368250621,1.1920329326028674,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,50
2,0.003389830508474576,0.01,0.0010097610232245036,0.03,0.9869542660920676,0.8757124005666685,0.8234909752566063,0.01694915254237288,0.008333333333333333,0.0010097610232245036,0.03,1.3053691559104965,1.2182923993128199,1.1716299661965808,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,100
3,0.003389830508474576,0.006666666666666667,0.0030292830696735107,0.06,1.1123323701204164,1.0052510012718958,0.9429880752420076,0.006779661016949152,0.0033333333333333335,0.0030292830696735107,0.06,1.22389010604773,1.144486913843154,1.1010559540842981,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,150
4,0.003389830508474576,0.005,0.003702457085156513,0.055,1.129055149992854,1.0345999298350481,0.9845085800107369,0.013559322033898305,0.006666666666666667,0.003702457085156513,0.055,1.3077467909479572,1.198825941017363,1.1417931194164754,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,200
5,0.003389830508474576,0.004,0.005048805116122518,0.06,1.1559764194765951,1.0623009506828933,1.0162043393208,0.01694915254237288,0.008333333333333333,0.005048805116122518,0.06,1.3243123452942698,1.2081740932253395,1.1512515528989773,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,250
6,0.010169491525423728,0.01,0.006731740154830024,0.06666666666666667,1.2159680657590137,1.1122557852822446,1.055925906614968,0.03728813559322034,0.018333333333333333,0.006731740154830024,0.06666666666666667,1.497050064749807,1.3353457259412922,1.2596666722873513,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,300
7,0.020338983050847456,0.017142857142857144,0.009761023224503534,0.08285714285714285,1.3530176810884473,1.2103634267733268,1.1362165550815735,0.030508474576271188,0.015,0.009761023224503534,0.08285714285714285,1.425026986860195,1.2850042632052099,1.2133573740031431,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,350
8,0.023728813559322035,0.0175,0.013800067317401549,0.1025,1.376906329720631,1.2470341741274262,1.1760305978639232,0.030508474576271188,0.015,0.013800067317401549,0.1025,1.4086849046392271,1.291169739092094,1.2283849289285924,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,400
9,0.030508474576271188,0.02,0.015146415348367553,0.1,1.4057006982028561,1.2703169843145592,1.1968621155071624,0.030508474576271188,0.015,0.015146415348367553,0.1,1.4098564829570184,1.2875171162754682,1.2241195482980545,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,450
10,0.030508474576271188,0.018,0.016492763379333558,0.098,1.4057006982028561,1.2730416970341718,1.201394405411145,0.030508474576271188,0.015,0.016492763379333558,0.098,1.4086849046392271,1.288777218845173,1.2254028089245887,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,500
